Products{id=2213, item_id=39216754, name='FRIHETEN', category='Sofas & armchairs', price=1846.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s39216754/', other_colors='Yes', short_description='        Corner sofa-bed with storage', designer='IKEA of Sweden', depth=151.0, height=66.0, width=0.0}
Products{id=2214, item_id=9251777, name='KLIPPAN', category='Sofas & armchairs', price=995.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/', other_colors='Yes', short_description='        2-seat sofa', designer='IKEA of Sweden', depth=88.0, height=66.0, width=180.0}
Products{id=2215, item_id=385314, name='SANDARED', category='Sofas & armchairs', price=245.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/', other_colors='No', short_description='"        Pouffe,          45 cm"', designer='Synnöve Mork', depth=0.0, height=33.0, width=0.0}
Products{id=2216, item_id=90354327, name='HAMMARN', category='Sofas & armchairs', price=399.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/', other_colors='No', short_description='"        Sofa-bed,          120 cm"', designer='Jonas Hultqvist', depth=85.0, height=78.0, width=128.0}
Products{id=2217, item_id=49282989, name='SÖDERHAMN', category='Sofas & armchairs', price=3120.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/soederhamn-4-seat-sofa-with-chaise-longue-and-open-end-finnsta-turquoise-s49282989/', other_colors='Yes', short_description='        4-seat sofa', designer='Ola Wihlborg', depth=151.0, height=83.0, width=285.0}
Products{id=2218, item_id=69217790, name='SANDBACKEN', category='Sofas & armchairs', price=1176.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/sandbacken-3-seat-sofa-frillestad-light-grey-s69217790/', other_colors='Yes', short_description='        3-seat sofa', designer='Lisa Hilland/IKEA of Sweden/David Wahl', depth=78.0, height=69.0, width=212.0}
Products{id=2219, item_id=79254683, name='GRÖNLID', category='Sofas & armchairs', price=4585.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/groenlid-corner-sofa-5-seat-inseros-white-s79254683/', other_colors='Yes', short_description='"        Corner sofa, 5-seat"', designer='Francis Cayouette/Ehlén Johansson', depth=98.0, height=104.0, width=322.0}
Products{id=2220, item_id=69129798, name='STOCKSUND', category='Sofas & armchairs', price=2695.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/stocksund-3-seat-sofa-ljungen-blue-black-wood-s69129798/', other_colors='Yes', short_description='        3-seat sofa', designer='Nike Karlsson', depth=97.0, height=84.0, width=199.0}
Products{id=2221, item_id=19325457, name='HÄSSELBY', category='Sofas & armchairs', price=1295.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/haesselby-3-seat-sofa-knisa-grey-s19325457/', other_colors='No', short_description='        3-seat sofa', designer='193.254.57 The cover is easy to keep clean as it is removable and can be machine washed.', depth=81.0, height=81.0, width=176.0}
Products{id=2222, item_id=89135944, name='SÖDERHAMN', category='Sofas & armchairs', price=1995.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/soederhamn-3-seat-sofa-finnsta-turquoise-s89135944/', other_colors='Yes', short_description='        3-seat sofa', designer='Ola Wihlborg', depth=99.0, height=83.0, width=198.0}
Products{id=2223, item_id=79257498, name='EKTORP', category='Sofas & armchairs', price=3395.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/ektorp-corner-sofa-4-seat-lingbo-multicolour-s79257498/', other_colors='Yes', short_description='"        Corner sofa, 4-seat"', designer='IKEA of Sweden', depth=88.0, height=88.0, width=0.0}
Products{id=2224, item_id=69240026, name='NORSBORG', category='Sofas & armchairs', price=3300.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/norsborg-4-seat-sofa-edum-with-chaise-longue-edum-birch-beige-birch-s69240026/', other_colors='Yes', short_description='        4-seat sofa', designer='Ehlén Johansson', depth=0.0, height=85.0, width=293.0}
Products{id=2225, item_id=20033919, name='ALSEDA', category='Sofas & armchairs', price=195.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/alseda-stool-banana-fibre-20033919/', other_colors='No', short_description='        Stool', designer='IKEA of Sweden', depth=0.0, height=18.0, width=0.0}
Products{id=2226, item_id=30451067, name='GAMLARP', category='Sofas & armchairs', price=2795.0, old_price=0.0, sellable_online=true, link='https://www.ikea.com/sa/en/p/gamlarp-3-seat-sofa-dark-grey-30451067/', other_colors='No', short_description='        3-seat sofa', designer='304.510.67', depth=90.0, height=86.0, width=211.0}
